Plate ID	Hour	Min	Second	Travel Orientation	LaneID
wp	7	0	3	2	3
wp	7	0	4	1	2
wp	7	0	9	4	3
wp	7	0	16	3	3
wp	7	0	26	4	1
wp	7	0	29	3	1
wp	7	0	30	3	3
wp	7	0	31	1	3
JGK47077	7	0	38	3	2
wp	7	0	38	1	2
wp	7	0	41	3	2
wp	7	0	42	1	3
wp	7	0	42	3	3
wp	7	0	42	1	2
wp	7	0	44	3	3
wp	7	0	44	3	2
wp	7	0	45	1	2
wp	7	0	47	1	2
wp	7	0	49	1	2
wp	7	0	49	1	1
wp	7	0	50	4	1
wp	7	0	53	1	2
wp	7	0	57	1	3
wp	7	0	58	1	1
wp	7	1	12	1	2
wp	7	1	29	1	2
JRUH873	7	1	45	4	2
JRYA225	7	1	45	4	3
wp	7	1	45	2	2
wp	7	1	45	2	3
JGGF961	7	1	48	2	1
wp	7	1	49	4	3
wp	7	1	50	4	2
JR93Q85	7	1	54	4	1
wp	7	1	55	2	3
wp	7	1	56	4	3
wp	7	1	56	2	2
wp	7	2	1	4	1
wp	7	2	4	4	3
wp	7	2	6	4	3
wp	7	2	10	4	2
wp	7	2	13	1	3
wp	7	2	16	1	2
JR6E262	7	2	28	1	3
wp	7	2	31	3	2
JR3989G	7	2	35	1	2
wp	7	2	35	3	3
JGN07R36	7	2	38	1	2
wp	7	2	38	3	3
wp	7	2	39	1	3
wp	7	2	40	1	2
wp	7	2	41	3	3
wp	7	2	41	3	2
wp	7	2	42	4	1
JR8U059	7	2	44	1	2
JR7199X	7	2	45	1	2
wp	7	2	45	1	3
wp	7	2	48	1	2
wp	7	2	50	1	3
wp	7	2	51	3	2
wp	7	2	55	3	3
wp	7	2	56	2	1
wp	7	2	57	3	2
wp	7	2	59	2	3
wp	7	3	5	3	2
wp	7	3	7	3	2
wp	7	3	20	1	2
wp	7	3	29	1	3
wp	7	3	38	1	2
JR73S63	7	3	43	4	3
JR7522T	7	3	44	4	2
JR67P95	7	3	47	4	3
LR2E076	7	3	48	4	1
